"jobName","jobFileName","recordType","stageName","stageType"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Aggregator_51","PxAggregator"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Funnel_65","PxFunnel"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sort_70","PxSort"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_IDE12CMPLX_avec_ligne_total","PxSequentialFile"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_EXTRACT_BI_IDE12","PxSequentialFile"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sort_84","PxSort"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_EXTRACT_BI_IDE12CMPLX","PxDataSet"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sort_48","PxSort"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_EXTRACT_BI_IDE12","PxDataSet"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_EXTRACT_BI_IDE12CMPLX_AGG","PxSequentialFile"
"CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_IDE12CMPLX_sans_ligne_total","PxSequentialFile"
"CopyOfJx_REPART_05_CONVERT_CSV_XLS_IDE12","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_EXTRACT_BI_IDE12","PxSequentialFile"
"CopyOfJx_REPART_05_CONVERT_CSV_XLS_IDE12","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","UD_SF_EXTRACT_BI_IDE12_XLSX","UnstructuredDataConnectorPX"
"CopyOfJx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","RD_ListeIdExploit","PxRemDup"
"CopyOfJx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT","PxDataSet"
"CopyOfJx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ora_Extract_Penel_DatDecl_IDFic_IDExploit","OracleConnectorPX"
"CopyOfJx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_ListeIdExploit","PxSequentialFile"
"CopyOfJx_TRACO_03_EXTR_ELIZA","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Extract_ELIZA_PROG_OEUVRE","OracleConnectorPX"
"CopyOfJx_TRACO_03_EXTR_ELIZA","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_ELIZA_PROG_OEUVRE","PxDataSet"
"CopyOfJx_TRACO_03_EXTR_ELIZA","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Extract_ELIZA_PROG_PROGTYP","OracleConnectorPX"
"CopyOfJx_TRACO_03_EXTR_ELIZA","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_ELIZA_PROG_PROGTYP","PxDataSet"
"CopyOfJx_TRACO_05_EXTR_PENEL_KEYLIG","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_05_EXTR_PENEL_KEYLIG","PxDataSet"
"CopyOfJx_TRACO_05_EXTR_PENEL_KEYLIG","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ora_Extract_PENEL","OracleConnectorPX"
"CopyOfJx_TRACO_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Copy_47","PxCopy"
"CopyOfJx_TRACO_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sort_51","PxSort"
"CopyOfJx_TRACO_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","JDBC_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","JDBCConnectorPX"
"CopyOfJx_TRACO_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","DS_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","PxDataSet"
"CopyOfJx_TRACO_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SF_05_EXTR_RELATLIGOEUV_OEUVCTX_AD_INFOAD","PxSequentialFile"
"CopyOfPENELExtrLigProgUlyssPourFelix2OraFfLigProgCinema2","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PENELT_LIGCDENOLINE","OracleConnector"
"CopyOfPENELExtrLigProgUlyssPourFelix2OraFfLigProgCinema2","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sort","sort"
"CopyOfPENELExtrLigProgUlyssPourFelix2OraFfLigProgCinema2","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PENELT_CLELIGFELIX","OracleConnector"
"CopyOfPENELExtrLigProgUlyssPourFelix2OraFfLigProgCinema2","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PENEL_CLELIGFELIX","OracleConnector"
"CopyOfPENELExtrPmerCinemaFelix03OraFfPreprep","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PENEL","OracleConnector"
"CopyOfPENELExtrPmerCinemaFelix03OraFfPreprep","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PENELT_CLELIGFELIX","OracleConnector"
"CopyOfPENELExtrPmerCinemaFelix03OraFfPreprep","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PENEL_CLELIGFELIX","OracleConnector"
"CopyOfPENELExtrPmerCinemaFelix03OraFfPreprep","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sort","sort"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sq_Out","PxSequentialFile"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PIVOTT_VENTE","OracleConnectorPX"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PIVOLT_CRE","OracleConnectorPX"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Jn_02","PxJoin"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ce_01","PxColumnExport"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Sq_Out","PxSequentialFile"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PIVOTT_VENTE","OracleConnectorPX"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PIVOTT_SUM","OracleConnectorPX"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Lk_01","PxLookup"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_03","PxCopy"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_05","PxCopy"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ft_01","PxFilter"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_04","PxCopy"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PIVOLT_TITR","OracleConnectorPX"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Rd_01","PxRemDup"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_PIVOLT_TIERS","OracleConnectorPX"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Jn_01","PxJoin"
"CopyOfPIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_02","PxCopy"
"Js_Load_XML_To_SOFIA_Roles_Users","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Folder_0","Folder"
"Js_Load_XML_To_SOFIA_Roles_Users","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","XML_Input_3","XMLInput"
"Js_Load_XML_To_SOFIA_Roles_Users","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SOFIA_ROLES","OracleConnector"
"Js_Load_XML_To_SOFIA_Roles_Users","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","SOFIA_USERS","OracleConnector"
"Jx_Alim_ORA_To_SOFIA_ETAB","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_copy","PxCopy"
"Jx_Alim_ORA_To_SOFIA_ETAB","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_ODS_SOFIA_ETAB","OracleConnectorPX"
"Jx_Alim_ORA_To_SOFIA_ETAB","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_REF_SAREF_ETAB","OracleConnectorPX"
"Jx_Alim_ORA_To_SOFIA_HR0024C","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_copy","PxCopy"
"Jx_Alim_ORA_To_SOFIA_HR0024C","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_ODS_SOFIA_HR0024C","OracleConnectorPX"
"Jx_Alim_ORA_To_SOFIA_HR0024C","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_REF_BATIL_HR0024C","OracleConnectorPX"
"Jx_Alim_ORA_To_SOFIA_SECBUDG","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_copy","PxCopy"
"Jx_Alim_ORA_To_SOFIA_SECBUDG","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_ODS_SOFIA_SECBUDG","OracleConnectorPX"
