"JOB","FILE","stageName","Stagetype"
"Jx_FEUILLET_05_APP_RELEVE_ROUTAGE_EDIT","DFN001.ds","DS_FIC_COPSS_RELEVE","Output"
"Jx_FEUILLET_05_APP_RELEVE_ROUTAGE_EDIT","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE.ds","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE","Output"
"Jx_FEUILLET_05_APP_RELEVE_ROUTAGE_EDIT","DS_RAP_RELEVE_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_RELEVE_ROUTAGE_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_05_APP_RELEVE_ROUTAGE_EDIT","ROUTAG_FEUILLETN_EDIT_REQ.csv","SF_REJETS_NB_RAP_RELEVE_ROUTAGE_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF","Output"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","FIC_RESULTAT_EDIT_OSCAR.csv","SF_EDIT_OSCAR","Input"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","DS_RAP_ROUTAGE_GED_OSCAR_PENEF.ds","DS_RAP_ROUTAGE_GED_OSCAR_PENEF","Output"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","DS_RAP_RELEVE_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_RELEVE_ROUTAGE_EDIT_OSCAR_PENEF","Output"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","DS_RAP_DECOMPTE_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_DECOMPTE_ROUTAGE_EDIT_OSCAR_PENEF","Output"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","DS_RAP_AUTOFACT_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_AUTOFACT_ROUTAGE_EDIT_OSCAR_PENEF","Output"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","FIC_RESULTAT_GED_OSCAR.csv","SF_GED_OSCAR","Input"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","FIC_RESULTAT_RELEVE.csv","SF_RELEVE_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","FIC_RESULTAT_DECOMPTE.csv","SF_DECOMPTE_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_01_FMT_ROUTAGE_EDIT_OSCAR_PENEF","FIC_RESULTAT_AUTOFACT.csv","SF_AUTOFACT_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_02_APP_ROUTAGE_EDIT_OSCAR_PENEF","DS_EXTRACT_PENEF.ds","DS_EXTRACT_PENEF","Output"
"Jx_FEUILLET_02_APP_ROUTAGE_EDIT_OSCAR_PENEF","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF","Input"
"Jx_FEUILLET_02_APP_ROUTAGE_EDIT_OSCAR_PENEF","ROUTAG_FEUILLETN_EDIT_REQ_PENEF.csv","SF_REJETS_NB_ROUTAGE_EDIT_OSCAR_PENEF2","Input"
"Jx_FEUILLET_02_APP_ROUTAGE_EDIT_OSCAR_PENEF","FF_EXTRACT_POPULATION_OSCAR.ds","DS_FIC_OSCAR","Output"
"Jx_FEUILLET_02_APP_ROUTAGE_EDIT_OSCAR_PENEF","ROUTAG_FEUILLETN_EDIT_REQ_OSCAR.csv","SF_REJETS_BL_ROUTAGE_EDIT_OSCAR","Input"
"Jx_FEUILLET_02_APP_ROUTAGE_EDIT_OSCAR_PENEF","ROUTAG_FEUILLETN_EDIT_REQ.ds","DS_FIC_COPSS_ROUTAGE_EDIT","Output"
"Jx_FEUILLET_06_APP_ROUTAGE_EDIT_DECOMPTE","DFN003.ds","DS_FIC_COPSS_DECOMPTE","Output"
"Jx_FEUILLET_06_APP_ROUTAGE_EDIT_DECOMPTE","DFN003.csv","SF_REJETS_BL_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE","Input"
