Projet,job,file,stage,idIO,typeIO
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr19_OKC_HISTORY.ds,Ds_LABISValidODSfSELDR01Extr19_OKC_HISTORY,V77S3P1,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr20_OKC_CONTRAT.ds,Ds_LABISValidODSfSELDR01Extr20_OKC_CONTRAT,V78S0P1,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr21_CONTRAT_TARIF_ACTIVE.ds,Ds_LABISValidODSfSELDR01Extr21_CONTRAT_TARIF_ACTIVE,V81S2P1,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr24_HZ_LOCATIONS.ds,Ds_LABISValidODSfSELDR01Extr24_HZ_LOCATIONS,V84S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr35_SELTJ_INFO_UO_V.ds,Ds_LABISValidODSfSELDR01Extr35_SELTJ_INFO_UO_V,V87S11P1,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr34_GEREFT_INSPTT.ds,Ds_LABISValidODSfSELDR01Extr34_GEREFT_INSPTT,V87S16P1,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr40a_MOTIF_CTXLI_CTR.ds,Ds_LABISValidODSfSELDR01Extr40a_MOTIF_CTXLI_CTR,V93S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr41_OKC_CINEMA.ds,Ds_LABISValidODSfSELDR01Extr41_OKC_CINEMA,V96S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans11CONTRAT,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr15_SELDRT_OKC_ATTRIBUTES.ds,Ds_LABISValidODSfSELDR01Extr15_SELDRT_OKC_ATTRIBUTES,V99S0P4,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans12FACTURE,#ParRepDataset#Ds_LABISValidODSfSELDR01Extr02TDFFACTURE.ds,Ds_LABISValidODSfSELDR01Extr02TDFFACTURE,V0S83P5,CustomOutput
MGTPRD,Jx_LABISValidODSfSELDR02Trans12FACTURE,#ParRepDataset#Ds_LABISValidODSfSELDR02Trans12FACTURE.ds,Ds_LABISValidODSfSELDR02Trans12FACTURE,V0S92P2,CustomInput
