,jobName,logFile,recordType,stageName,stageType
106,FTSACExtrCSI00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CWI,RowSplitter
107,FTSACExtrCSI00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_HDR,RowSplitter
108,FTSACExtrCSI00FfHfSplitFic_old,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CWI,RowSplitter
109,FTSACExtrCSI00FfHfSplitFic_old,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_HDR,RowSplitter
110,FTSACExtrCtrlEnrgt00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CE31,RowSplitter
111,FTSACExtrCtrlEnrgt00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CE35,RowSplitter
112,FTSACExtrCtrlEnrgt00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CE30,RowSplitter
113,FTSACExtrCtrlEnrgt00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CE33,RowSplitter
114,FTSACExtrCtrlEnrgt00FfHfSplitFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CE00,RowSplitter
115,FTSACExtrCtrlEnrgt05FfHfIpbasenr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_FF_CLIPI_Ipbasenr,RowSplitter
116,FTSACExtrCtrlEnrgt21HfHCE31CdeTis,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TBLTIS,OracleConnector
117,FTSACExtrCtrlEnrgt50HfFfRecupAno,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,SRT_Idctr_Enrgt,sort
118,FTSACRecupEnrgtValides22OraHfCE31okMaxAgmid,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_AGM,OracleConnector
119,STECHCreFicJournal,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,SORT_Journal,sort
