Projet,job,file,truefile,stage,idIO,typeIO
SUPprd,Jx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,#PAR_PATH_DATASET#DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF.ds,DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF,V121S0P1,Source
SUPprd,Jx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,#PAR_PATH_DATASET#DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE.ds,DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE,V89S0P1,Cible
SUPprd,Jx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,#PAR_PATH_DATASET##PAR_FIC_COPSS_RELEVE#.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/DFN001.ds,DS_FIC_COPSS_RELEVE,V91S0P1,Source
SUPprd,Jx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_NB_FONC_04_APP_#PAR_FIC_COPSS_ROUTAGE_EDIT#_#PAR_FIC_COPSS_RELEVE#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/ROUTAG_FEUILLETN_EDIT_REQ/DFN001.csv,SF_REJETS_NB_RAP_ROUTAGE_RELEVE,V92S0P2,Cible
SUPprd,Jx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_FONC_04_APP_#PAR_FIC_COPSS_ROUTAGE_EDIT#_#PAR_FIC_COPSS_RELEVE#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/ROUTAG_FEUILLETN_EDIT_REQ/DFN001.csv,SF_REJETS_BL_RAP_RELEVE_ROUTAGE_EDIT,V94S0P1,Cible
SUPprd,Jx_TRACO_04_RAP_WEBDR_ELIZA_PIVOT_OK_KO_ULYSS,#PAR_PATH_DATASET#DS_02_RAP_WEBDR_ELIZA_PIVOT_ULYSS.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_02_RAP_WEBDR_ELIZA_PIVOT_ULYSS.ds,DS_02_RAP_WEBDR_ELIZA_PIVOT_ULYSS,V0S64P1,Cible
SUPprd,Jx_TRACO_04_RAP_WEBDR_ELIZA_PIVOT_OK_KO_ULYSS,#PAR_PATH_DATASET#DS_01_EXTR_ULYSS.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_ULYSS.ds,DS_01_EXTR_ULYSS,V124S2P2,Source
SUPprd,Jx_TRACO_04_RAP_WEBDR_ELIZA_PIVOT_OK_KO_ULYSS,#PAR_PATH_DATASET#DS_08_FUSION_WEBDR_ELIZA_PIVOT_OK_KO.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_08_FUSION_WEBDR_ELIZA_PIVOT_OK_KO.ds,DS_08_FUSION_WEBDR_ELIZA_PIVOT_OK_KO,V138S0P2,Source
SUPprd,Jx_REPART_02_CALC_MT_OEUV_IDE12_CSV,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_EXTRACT_BI_IDE12_FR.csv\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/resultats/SF_EXTRACT_BI_IDE12_FR.csv,SF_EXTRACT_BI_IDE12_FR,V0S83P1,Cible
SUPprd,Jx_REPART_02_CALC_MT_OEUV_IDE12_CSV,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_FR.ds,/work/home/dsprd1/applications/sup/repar/datastage/dataset/DS_EXTRACT_BI_IDE12_FR.ds,DS_EXTRACT_BI_IDE12_FR,V113S0P1,Source
SUPprd,Jx_REPART_02_CALC_MT_OEUV_IDE12_CSV,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_EN.ds,/work/home/dsprd1/applications/sup/repar/datastage/dataset/DS_EXTRACT_BI_IDE12_EN.ds,DS_EXTRACT_BI_IDE12_EN,V116S0P1,Source
SUPprd,Jx_REPART_02_CALC_MT_OEUV_IDE12_CSV,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_EXTRACT_BI_IDE12_EN.csv\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/resultats/SF_EXTRACT_BI_IDE12_EN.csv,SF_EXTRACT_BI_IDE12_EN,V116S2P1,Cible
SUPprd,Jx_REPART_05_CONVERT_CSV_XLS_IDE12CMPLX,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_RESULTAT_IDE12CMPLX#OA-#PAR_NUM_REPART#-#PAR_NUM_COAD#.csv\(2)0, ,SF_EXTRACT_BI_IDE12CMPLX,V115S1P2,Source
SUPprd,Jx_TRACO_04_EXTR_INFO_AD,#PAR_PATH_DATASET#DS_01_EXTR_INFO_AD.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_INFO_AD.ds,DS_01_EXTR_INFO_AD,V103S2P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_FR.ds,/work/home/dsprd1/applications/sup/repar/datastage/dataset/DS_EXTRACT_BI_IDE12_FR.ds,DS_EXTRACT_BI_IDE12_FR,V129S0P2,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_EN.ds,/work/home/dsprd1/applications/sup/repar/datastage/dataset/DS_EXTRACT_BI_IDE12_EN.ds,DS_EXTRACT_BI_IDE12_EN,V131S0P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_EN#\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_ENPAR_FIC_LISTE_COAD_IDE12_EN,SF_Liste_COAD_IDE12_EN,V136S3P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_10\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_10,SF_Liste_COAD_IDE12_FR_10,V154S0P1,Cible
