,jobName,logFile,recordType,stageName,stageType
46,CLIPIExtrFulip3OraFfNomFull,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_NOM,OracleConnector
47,CLIPIExtrFulip4OraFfApp,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_APP,OracleConnector
48,CLIPIExtrFulip4OraFfAppFull,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_APP,OracleConnector
49,CLIPIExtrFulip5OraFfCpl,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_CPL,OracleConnector
50,CLIPIExtrFulip5OraFfCplFull,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_CPL,OracleConnector
51,CLIPIExtrFulip9HfOraMajDbsoc,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_DBSOC_IN,OracleConnector
52,CLIPIExtrFulip9HfOraMajDbsoc,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_DBSOC_OUT,OracleConnector
53,CLIPIGeneTripiMajParamBlocage,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_PARAM_INIT,OracleConnector
54,CLIPIGeneTripiMajParamBlocage,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_PARAM_FIN,OracleConnector
55,CLIPIGeneTripiMajParamBlocage,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_PARAM,OracleConnector
56,CLIPILoad1FfTripiChrgBdn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DETAILS,OracleConnector
57,CLIPILoad1FfTripiChrgBdn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IP_BASE_DATA,OracleConnector
58,CLIPILoad1FfTripiChrgFileEdi,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI,OracleConnector
59,CLIPILoad1FfTripiChrgImn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_FILE_HEADER_EDI_DETAILS,OracleConnector
60,CLIPILoad1FfTripiChrgImn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_FILE_HEADER_IP_NAME_USAGE,OracleConnector
61,CLIPILoad1FfTripiChrgInn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DETAILS,OracleConnector
62,CLIPILoad1FfTripiChrgInn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IP_NAME_USAGE,OracleConnector
63,CLIPILoad1FfTripiChrgIpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_HEADER,OracleConnector
64,CLIPILoad1FfTripiChrgIpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DBSOC,OracleConnector
65,CLIPILoad1FfTripiChrgIpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DBSOCREF,OracleConnector
66,CLIPILoad1FfTripiChrgMan,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DETAILS,OracleConnector
67,CLIPILoad1FfTripiChrgMan,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IP_AGM,OracleConnector
68,CLIPILoad1FfTripiChrgMcn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DETAILS,OracleConnector
69,CLIPILoad1FfTripiChrgMcn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IP_NAME,OracleConnector
70,CLIPILoad1FfTripiChrgNcn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DETAILS,OracleConnector
71,CLIPILoad1FfTripiChrgNcn,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IP_NAME,OracleConnector
72,CLIPILoad1FfTripiChrgNcu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_DBSOCREF,OracleConnector
73,CLIPILoad1FfTripiChrgNcu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_EDI_HEADER,OracleConnector
